ko	gene
ko00480	CP4g4323
ko00983	CP4g4323
ko00982	CP4g4323
ko01524	CP4g4323
ko04212	CP4g4323
ko00980	CP4g4323
ko05225	CP4g4323
ko05204	CP4g4323
ko05418	CP4g4323
ko05200	CP4g4323
ko00480	CP2g2371
ko00983	CP2g2371
ko00982	CP2g2371
ko01524	CP2g2371
ko04212	CP2g2371
ko00980	CP2g2371
ko05225	CP2g2371
ko05204	CP2g2371
ko05418	CP2g2371
ko05200	CP2g2371
ko00480	CP2g2486
ko00983	CP2g2486
ko00982	CP2g2486
ko01524	CP2g2486
ko04212	CP2g2486
ko00980	CP2g2486
ko05225	CP2g2486
ko05204	CP2g2486
ko05418	CP2g2486
ko05200	CP2g2486
ko00480	CP5g4597
ko00983	CP5g4597
ko00982	CP5g4597
ko01524	CP5g4597
ko04212	CP5g4597
ko00980	CP5g4597
ko05225	CP5g4597
ko05204	CP5g4597
ko05418	CP5g4597
ko05200	CP5g4597
ko00480	CP8g6374
ko00983	CP8g6374
ko00982	CP8g6374
ko01524	CP8g6374
ko04212	CP8g6374
ko00980	CP8g6374
ko05225	CP8g6374
ko05204	CP8g6374
ko05418	CP8g6374
ko05200	CP8g6374
ko00480	CP6g5829
ko00983	CP6g5829
ko00982	CP6g5829
ko01524	CP6g5829
ko04212	CP6g5829
ko00980	CP6g5829
ko05225	CP6g5829
ko05204	CP6g5829
ko05418	CP6g5829
ko05200	CP6g5829
ko00480	CP2g2243
ko00983	CP2g2243
ko00982	CP2g2243
ko01524	CP2g2243
ko04212	CP2g2243
ko00980	CP2g2243
ko05225	CP2g2243
ko05204	CP2g2243
ko05418	CP2g2243
ko05200	CP2g2243
ko00480	CP3g3409
ko00983	CP3g3409
ko00982	CP3g3409
ko01524	CP3g3409
ko04212	CP3g3409
ko00980	CP3g3409
ko05225	CP3g3409
ko05204	CP3g3409
ko05418	CP3g3409
ko05200	CP3g3409
ko00480	CP3g3385
ko00983	CP3g3385
ko00982	CP3g3385
ko01524	CP3g3385
ko04212	CP3g3385
ko00980	CP3g3385
ko05225	CP3g3385
ko05204	CP3g3385
ko05418	CP3g3385
ko05200	CP3g3385
ko00480	CP2g2277
ko00983	CP2g2277
ko00982	CP2g2277
ko01524	CP2g2277
ko04212	CP2g2277
ko00980	CP2g2277
ko05225	CP2g2277
ko05204	CP2g2277
ko05418	CP2g2277
ko05200	CP2g2277
ko00400	CP8g6630
ko00909	CP15g9782
ko00100	CP15g9782
ko00350	CP1g103
ko00330	CP1g103
ko00270	CP1g103
ko00400	CP1g103
ko00950	CP1g103
ko00360	CP1g103
ko00220	CP1g103
ko00960	CP1g103
